File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\Obie\Documents\Visual Studio 2017\Projects\Design Tests\Design Tests\Room.h,97,70,46,5,20,0,7,18,0,0
C:\Users\Obie\Documents\Visual Studio 2017\Projects\Design Tests\Design Tests\Rotation.h,22,12,6,0,2,1,8,23,0,0
C:\Users\Obie\Documents\Visual Studio 2017\Projects\Design Tests\Design Tests\SettingIO.h,267,206,113,29,52,0,9,31,0,0
C:\Users\Obie\Documents\Visual Studio 2017\Projects\Design Tests\Design Tests\SpriteComponent.h,64,47,39,0,10,0,7,18,0,0
C:\Users\Obie\Documents\Visual Studio 2017\Projects\Design Tests\Design Tests\StateChangeMessage.h,23,14,6,0,2,0,7,16,0,0
C:\Users\Obie\Documents\Visual Studio 2017\Projects\Design Tests\Design Tests\TextComponent.h,56,38,30,0,11,0,7,20,0,0
C:\Users\Obie\Documents\Visual Studio 2017\Projects\Design Tests\Design Tests\Texture.h,49,28,23,0,13,0,8,28,0,0
C:\Users\Obie\Documents\Visual Studio 2017\Projects\Design Tests\Design Tests\TextureCache.h,33,20,15,0,6,0,7,20,0,0
C:\Users\Obie\Documents\Visual Studio 2017\Projects\Design Tests\Design Tests\TextureEffect.h,71,50,37,0,14,0,7,21,0,0
C:\Users\Obie\Documents\Visual Studio 2017\Projects\Design Tests\Design Tests\Timer.h,117,91,49,10,19,0,7,17,0,0
C:\Users\Obie\Documents\Visual Studio 2017\Projects\Design Tests\Design Tests\TreeNode.h,37,24,13,0,6,0,7,18,0,0
C:\Users\Obie\Documents\Visual Studio 2017\Projects\Design Tests\Design Tests\UIButton.h,60,38,30,0,14,0,8,22,0,0
C:\Users\Obie\Documents\Visual Studio 2017\Projects\Design Tests\Design Tests\UIComponent.h,61,37,26,0,15,0,9,20,0,0
C:\Users\Obie\Documents\Visual Studio 2017\Projects\Design Tests\Design Tests\UIDeckGrid.h,36,27,15,0,9,0,0,0,0,0
C:\Users\Obie\Documents\Visual Studio 2017\Projects\Design Tests\Design Tests\UIGraphic.h,38,22,14,0,9,0,7,17,0,0
C:\Users\Obie\Documents\Visual Studio 2017\Projects\Design Tests\Design Tests\UIMenu.h,60,38,27,0,15,0,7,18,0,0
C:\Users\Obie\Documents\Visual Studio 2017\Projects\Design Tests\Design Tests\UIText.h,40,22,16,0,11,0,7,18,0,0
C:\Users\Obie\Documents\Visual Studio 2017\Projects\Design Tests\Design Tests\UserInterfaceSystem.h,39,22,12,1,10,0,7,21,0,0
C:\Users\Obie\Documents\Visual Studio 2017\Projects\Design Tests\Design Tests\Vector2D.h,59,39,23,6,10,0,10,26,0,0
C:\Users\Obie\Documents\Visual Studio 2017\Projects\Design Tests\Design Tests\VelocityComponent.h,34,21,15,0,6,0,7,15,0,0
C:\Users\Obie\Documents\Visual Studio 2017\Projects\Design Tests\Design Tests\VelocityIncreaseMessage.h,25,16,9,0,2,0,7,23,0,0
C:\Users\Obie\Documents\Visual Studio 2017\Projects\Design Tests\Design Tests\Window.h,39,22,16,0,8,0,9,21,0,0
C:\Users\Obie\Documents\Visual Studio 2017\Projects\Design Tests\Design Tests\World.h,51,33,24,0,11,0,7,21,0,0
